"","peel","SSB","F","index","year"
"1",1,57706.900516311,0.369160773892304,1,1980
"2",1,52776.9498095813,0.260722304646688,2,1981
"3",1,41847.8383315749,0.457110138011906,3,1982
"4",1,35168.8477518717,0.553427654865847,4,1983
"5",1,23386.7082894787,0.711671103783912,5,1984
"6",1,17712.0307402639,0.809515309236975,6,1985
"7",1,12421.4528662667,0.448614926345412,7,1986
"8",1,10824.1979058127,0.539177093944596,8,1987
"9",1,9236.57578300911,0.52614722230704,9,1988
"10",1,8292.92032332856,0.374330571746175,10,1989
"11",1,9774.21435582758,0.429996545855941,11,1990
"12",1,11292.5147639479,0.408377401804981,12,1991
"13",1,14120.5428154531,0.46188145848135,13,1992
"14",1,14778.6413457019,0.501919830488573,14,1993
"15",1,13868.8004000273,0.592086665858623,15,1994
"16",1,15934.9079663607,0.4046433902104,16,1995
"17",1,16699.973716871,0.297004011587844,17,1996
"18",1,15803.1671674909,0.359812102449466,18,1997
"19",1,16474.727766007,0.302954883852641,19,1998
"20",1,18275.7935009997,0.237521181601184,20,1999
"21",1,24877.450451905,0.198644582137736,21,2000
"22",1,25528.1846961453,0.239597401450851,22,2001
"23",1,19947.1839809325,0.27937274058876,23,2002
"24",1,14062.9587714114,0.256506942529443,24,2003
"25",1,12369.7632808321,0.245735023018525,25,2004
"26",1,11374.6469841921,0.161442772747421,26,2005
"27",1,12461.4141378213,0.165516153164817,27,2006
"28",1,15167.1843666962,0.107563081557023,28,2007
"29",1,20098.1423516857,0.132720450798302,29,2008
"30",1,24052.4207871862,0.127040618122975,30,2009
"31",1,26733.3477679977,0.120131527138773,31,2010
"32",1,29395.29560521,0.0622250160821889,32,2011
"33",1,26584.0606625957,0.0654099821692921,33,2012
"34",1,24091.2463923265,0.0610662883351182,34,2013
"35",1,30757.3278010884,0.0466298361278297,35,2014
"36",1,35723.7275457432,0.0450871869003922,36,2015
"37",1,44721.1632692764,0.0330877670590156,37,2016
"38",1,48000.3577857906,0.0310682757497386,38,2017
"39",1,45072.6312798265,0.0280836807211354,39,2018
"40",1,33184.3395699703,0.0348649543614782,40,2019
"41",1,29045.2382815168,0.0244977991500409,41,2020
"42",2,57831.6607207385,0.366406373899873,1,1980
"43",2,52802.2949269412,0.258127108152413,2,1981
"44",2,41943.7094217842,0.450467212987892,3,1982
"45",2,35076.4278564064,0.546235666234708,4,1983
"46",2,23407.4879880743,0.702170756956743,5,1984
"47",2,17688.9548256969,0.815030611064534,6,1985
"48",2,12415.8268304185,0.447520963714311,7,1986
"49",2,10850.3990768771,0.532171138701139,8,1987
"50",2,9259.04291162703,0.519490556098049,9,1988
"51",2,8287.21032832243,0.367610009852768,10,1989
"52",2,9728.20522956032,0.424261018649963,11,1990
"53",2,11278.2433979942,0.401928597889027,12,1991
"54",2,14125.9561282514,0.458334095351882,13,1992
"55",2,14771.4901727566,0.502047786810728,14,1993
"56",2,13879.4587703763,0.592679378995355,15,1994
"57",2,15871.3899195907,0.404048078407379,16,1995
"58",2,16648.8497771193,0.296701056474994,17,1996
"59",2,15796.8223925477,0.35965261981149,18,1997
"60",2,16467.8065547633,0.300411564315299,19,1998
"61",2,18258.1214417246,0.236148662295987,20,1999
"62",2,24827.8254903192,0.19685824134352,21,2000
"63",2,25439.7907197754,0.239826512662801,22,2001
"64",2,19867.7500737529,0.280358377951274,23,2002
"65",2,14071.0193620314,0.258567643611248,24,2003
"66",2,12347.9375557889,0.246954907263835,25,2004
"67",2,11386.5166249962,0.162091697749202,26,2005
"68",2,12472.7685093261,0.16647529144585,27,2006
"69",2,15214.1176580332,0.107456733766086,28,2007
"70",2,20165.0820055,0.132562884124553,29,2008
"71",2,24184.6881061554,0.125512298425492,30,2009
"72",2,27073.0563828423,0.120476352060422,31,2010
"73",2,30023.8070609077,0.0605486223278565,32,2011
"74",2,27353.0345291645,0.0627606560569084,33,2012
"75",2,24780.1098125958,0.0586896892203875,34,2013
"76",2,31355.1854928973,0.0448797650048294,35,2014
"77",2,36093.7850187519,0.0434633230686561,36,2015
"78",2,44879.0282395957,0.0318182231793137,37,2016
"79",2,48331.24782637,0.0300977665794762,38,2017
"80",2,45740.1752788471,0.0270196910625174,39,2018
"81",2,33893.7301691097,0.0335840418221423,40,2019
"82",3,57713.5942304976,0.367464827491626,1,1980
"83",3,52653.3923492894,0.258625477288911,2,1981
"84",3,41894.233948817,0.451107214200915,3,1982
"85",3,35027.5977415801,0.54800912643651,4,1983
"86",3,23409.8747463161,0.70327143405661,5,1984
"87",3,17665.9424889363,0.821941271488764,6,1985
"88",3,12399.2302938933,0.448517504141151,7,1986
"89",3,10840.8052408528,0.532290205038824,8,1987
"90",3,9252.85181131871,0.519781768646305,9,1988
"91",3,8291.83534958883,0.366673838005328,10,1989
"92",3,9738.82484462499,0.424599697381988,11,1990
"93",3,11294.5241671938,0.400595957880647,12,1991
"94",3,14124.8321043811,0.458101110357976,13,1992
"95",3,14757.9022224336,0.503809216629462,14,1993
"96",3,13883.7932900027,0.595564530299226,15,1994
"97",3,15861.0375000857,0.406163862223549,16,1995
"98",3,16643.2861833852,0.297820756699123,17,1996
"99",3,15801.0026012269,0.362582494652167,18,1997
"100",3,16457.7658185063,0.301325727550072,19,1998
