"","peel","SSB","F","index","year"
"1",1,115436.460946031,0.369051472083862,1,1980
"2",1,105569.807864987,0.260666783502348,2,1981
"3",1,83705.6356760505,0.457014471118723,3,1982
"4",1,70340.2827988089,0.553305322401818,4,1983
"5",1,46778.3064904116,0.711487250299665,5,1984
"6",1,35426.4552575249,0.809453264794431,6,1985
"7",1,24844.8754139859,0.448533591069826,7,1986
"8",1,21650.4692516614,0.539076705848331,8,1987
"9",1,18473.9900194895,0.526055154121773,9,1988
"10",1,16585.009290941,0.374259773894989,10,1989
"11",1,19544.7458783381,0.429900795929381,11,1990
"12",1,22582.995348238,0.408330726705964,12,1991
"13",1,28242.7784387526,0.461791233519025,13,1992
"14",1,29558.7444211452,0.501822007917755,14,1993
"15",1,27734.0132477328,0.59203075472765,15,1994
"16",1,31863.8058964609,0.404635628571204,16,1995
"17",1,33394.0323140461,0.296999403020405,17,1996
"18",1,31606.6748501304,0.359715865079402,18,1997
"19",1,32956.1735956348,0.302817984280823,19,1998
"20",1,36556.1152456391,0.237412280633947,20,1999
"21",1,49758.5374604026,0.198596906242664,21,2000
"22",1,51057.9364489442,0.239560880000522,22,2001
"23",1,39895.2743170993,0.279329647251684,23,2002
"24",1,28130.7251527888,0.256428420696242,24,2003
"25",1,24742.0192270303,0.245682454901955,25,2004
"26",1,22751.4103378084,0.161409835251482,26,2005
"27",1,24923.2110566162,0.165483994110922,27,2006
"28",1,30333.4946242974,0.107541969445433,28,2007
"29",1,40199.1959067272,0.132691638414764,29,2008
"30",1,48131.0705244644,0.126943102428476,30,2009
"31",1,53493.0133218559,0.120040881625236,31,2010
"32",1,58815.0601042948,0.062182420143494,32,2011
"33",1,53195.830041758,0.0653608625048732,33,2012
"34",1,48198.0967124822,0.0610276052076975,34,2013
"35",1,61515.4269986462,0.0466094414512785,35,2014
"36",1,71426.8826838561,0.0450742238226417,36,2015
"37",1,89404.2524786079,0.0330724691945713,37,2016
"38",1,96044.2943108958,0.0310375108701712,38,2017
"39",1,90240.9447104033,0.0280458095698219,39,2018
"40",1,66421.3439050847,0.0348287663454069,40,2019
"41",1,58123.3799809977,0.0244780140902209,41,2020
"42",2,115680.351598999,0.36631648428292,1,1980
"43",2,105614.08386813,0.258071320165603,2,1981
"44",2,83897.382734602,0.45032657194247,3,1982
"45",2,70155.0352709756,0.546070709752141,4,1983
"46",2,46819.6874311145,0.701963073235115,5,1984
"47",2,35380.0343788161,0.814939567597883,6,1985
"48",2,24833.9502075464,0.447430852506307,7,1986
"49",2,21703.3219893096,0.532025534643564,8,1987
"50",2,18519.7794021649,0.519346066138221,9,1988
"51",2,16575.1666478925,0.367466478348664,10,1989
"52",2,19455.6645930952,0.424073612754286,11,1990
"53",2,22557.6521439385,0.401805664784572,12,1991
"54",2,28253.1189172284,0.458236356308799,13,1992
"55",2,29543.2249520965,0.501973980922007,14,1993
"56",2,27759.516459133,0.592599182638627,15,1994
"57",2,31741.107355776,0.403955920519059,16,1995
"58",2,33297.3134266777,0.296649919728094,17,1996
"59",2,31595.0801777574,0.359574470951552,18,1997
"60",2,32937.2135442123,0.300343769203795,19,1998
"61",2,36517.2778314131,0.236086274594662,20,1999
"62",2,49654.6279686491,0.19681624799046,21,2000
"63",2,50878.7584792556,0.239793573090758,22,2001
"64",2,39735.8467300452,0.280324705541039,23,2002
"65",2,28144.9013886065,0.258535167652177,24,2003
"66",2,24697.3565050688,0.246908927851654,25,2004
"67",2,22775.4236922995,0.162062865996579,26,2005
"68",2,24947.9360506933,0.166442025682941,27,2006
"69",2,30433.0915640743,0.10742093232812,28,2007
"70",2,40347.1500247911,0.132513420735955,29,2008
"71",2,48437.0841693808,0.12529278386754,30,2009
"72",2,54216.2471803243,0.120268148144323,31,2010
"73",2,60114.7095090449,0.0604490000519013,32,2011
"74",2,54779.5608443737,0.062649176723646,33,2012
"75",2,49605.7546567661,0.0585987261182415,34,2013
"76",2,62725.7168519271,0.0448303208066072,35,2014
"77",2,72158.663177223,0.0434295406878701,36,2015
"78",2,89696.0781165142,0.0317813466521482,37,2016
"79",2,96778.346733334,0.0300292032479412,38,2017
"80",2,91712.9377465812,0.0269360795330674,39,2018
"81",2,67917.4397121874,0.0335036853055551,40,2019
"82",3,115468.502197693,0.367229315586917,1,1980
"83",3,105331.161229589,0.258473046560795,2,1981
"84",3,83813.3161544999,0.450738406883651,3,1982
"85",3,70060.6394038671,0.547590240561339,4,1983
