"","Year","survey","catchability"
"1",1980,"Index1",8.86294007452561e-05
"2",1980,"Index2",9.81731667194292e-05
"3",1980,"Index3",0.000141710212011611
"4",1980,"Index4",0.000128222709698558
"5",1981,"Index1",8.86294007452561e-05
"6",1981,"Index2",9.81731667194292e-05
"7",1981,"Index3",0.000141710212011611
"8",1981,"Index4",0.000128222709698558
"9",1982,"Index1",8.86294007452561e-05
"10",1982,"Index2",9.81731667194292e-05
"11",1982,"Index3",0.000141710212011611
"12",1982,"Index4",0.000128222709698558
"13",1983,"Index1",8.86294007452561e-05
"14",1983,"Index2",9.81731667194292e-05
"15",1983,"Index3",0.000141710212011611
"16",1983,"Index4",0.000128222709698558
"17",1984,"Index1",8.86294007452561e-05
"18",1984,"Index2",9.81731667194292e-05
"19",1984,"Index3",0.000141710212011611
"20",1984,"Index4",0.000128222709698558
"21",1985,"Index1",8.86294007452561e-05
"22",1985,"Index2",9.81731667194292e-05
"23",1985,"Index3",0.000141710212011611
"24",1985,"Index4",0.000128222709698558
"25",1986,"Index1",8.86294007452561e-05
"26",1986,"Index2",9.81731667194292e-05
"27",1986,"Index3",0.000141710212011611
"28",1986,"Index4",0.000128222709698558
"29",1987,"Index1",8.86294007452561e-05
"30",1987,"Index2",9.81731667194292e-05
"31",1987,"Index3",0.000141710212011611
"32",1987,"Index4",0.000128222709698558
"33",1988,"Index1",8.86294007452561e-05
"34",1988,"Index2",9.81731667194292e-05
"35",1988,"Index3",0.000141710212011611
"36",1988,"Index4",0.000128222709698558
"37",1989,"Index1",8.86294007452561e-05
"38",1989,"Index2",9.81731667194292e-05
"39",1989,"Index3",0.000141710212011611
"40",1989,"Index4",0.000128222709698558
"41",1990,"Index1",8.86294007452561e-05
"42",1990,"Index2",9.81731667194292e-05
"43",1990,"Index3",0.000141710212011611
"44",1990,"Index4",0.000128222709698558
"45",1991,"Index1",8.86294007452561e-05
"46",1991,"Index2",9.81731667194292e-05
"47",1991,"Index3",0.000141710212011611
"48",1991,"Index4",0.000128222709698558
"49",1992,"Index1",8.86294007452561e-05
"50",1992,"Index2",9.81731667194292e-05
"51",1992,"Index3",0.000141710212011611
"52",1992,"Index4",0.000128222709698558
"53",1993,"Index1",8.86294007452561e-05
"54",1993,"Index2",9.81731667194292e-05
"55",1993,"Index3",0.000141710212011611
"56",1993,"Index4",0.000128222709698558
"57",1994,"Index1",8.86294007452561e-05
"58",1994,"Index2",9.81731667194292e-05
"59",1994,"Index3",0.000141710212011611
"60",1994,"Index4",0.000128222709698558
"61",1995,"Index1",8.86294007452561e-05
"62",1995,"Index2",9.81731667194292e-05
"63",1995,"Index3",0.000141710212011611
"64",1995,"Index4",0.000128222709698558
"65",1996,"Index1",8.86294007452561e-05
"66",1996,"Index2",9.81731667194292e-05
"67",1996,"Index3",0.000141710212011611
"68",1996,"Index4",0.000128222709698558
"69",1997,"Index1",8.86294007452561e-05
"70",1997,"Index2",9.81731667194292e-05
"71",1997,"Index3",0.000141710212011611
"72",1997,"Index4",0.000128222709698558
"73",1998,"Index1",8.86294007452561e-05
"74",1998,"Index2",9.81731667194292e-05
"75",1998,"Index3",0.000141710212011611
"76",1998,"Index4",0.000128222709698558
"77",1999,"Index1",8.86294007452561e-05
"78",1999,"Index2",9.81731667194292e-05
"79",1999,"Index3",0.000141710212011611
"80",1999,"Index4",0.000128222709698558
"81",2000,"Index1",8.86294007452561e-05
"82",2000,"Index2",9.81731667194292e-05
"83",2000,"Index3",0.000141710212011611
"84",2000,"Index4",0.000128222709698558
"85",2001,"Index1",8.86294007452561e-05
"86",2001,"Index2",9.81731667194292e-05
"87",2001,"Index3",0.000141710212011611
"88",2001,"Index4",0.000128222709698558
"89",2002,"Index1",8.86294007452561e-05
"90",2002,"Index2",9.81731667194292e-05
"91",2002,"Index3",0.000141710212011611
"92",2002,"Index4",0.000128222709698558
"93",2003,"Index1",8.86294007452561e-05
"94",2003,"Index2",9.81731667194292e-05
"95",2003,"Index3",0.000141710212011611
"96",2003,"Index4",0.000128222709698558
"97",2004,"Index1",8.86294007452561e-05
"98",2004,"Index2",9.81731667194292e-05
"99",2004,"Index3",0.000141710212011611
"100",2004,"Index4",0.000128222709698558
"101",2005,"Index1",8.86294007452561e-05
"102",2005,"Index2",9.81731667194292e-05
"103",2005,"Index3",0.000141710212011611
"104",2005,"Index4",0.000128222709698558
"105",2006,"Index1",8.86294007452561e-05
"106",2006,"Index2",9.81731667194292e-05
"107",2006,"Index3",0.000141710212011611
"108",2006,"Index4",0.000128222709698558
"109",2007,"Index1",8.86294007452561e-05
"110",2007,"Index2",9.81731667194292e-05
"111",2007,"Index3",0.000141710212011611
"112",2007,"Index4",0.000128222709698558
"113",2008,"Index1",8.86294007452561e-05
"114",2008,"Index2",9.81731667194292e-05
"115",2008,"Index3",0.000141710212011611
"116",2008,"Index4",0.000128222709698558
"117",2009,"Index1",8.86294007452561e-05
"118",2009,"Index2",9.81731667194292e-05
